PLAYER_ID,PLAYER_NAME,GP,MIN_TOTAL,PRIMARY_DECADE,ERA_LABEL,HP_PCT,ATTACK_PCT,DEFENSE_PCT,SPATK_PCT,SPDEF_PCT,SPEED_PCT
201977,Marcus Thornton,483,11297.536666666667,2010,Pace-and-Space Small-Ball,64.30109810316723,82.74293321600634,34.45376831961879,47.532254148667406,46.82147598193314,42.96363845547496
201978,Chase Budinger,407,7998.0216666666665,2010,Pace-and-Space Small-Ball,51.00408833964441,59.36263454679446,48.87991395435314,43.69942963665338,48.447070267323056,48.52511179734641
201979,Nick Calathes,129,2010.5116666666668,2010,Pace-and-Space Small-Ball,36.13954389644088,24.94914193836898,91.74542218019106,90.39574044668348,65.59539377736712,19.204568783882475
201980,Danny Green,832,20898.35,2010,Pace-and-Space Small-Ball,69.40310429375727,40.38264884107283,76.71409805040359,37.93453933607544,58.79763311295202,41.84489300125891
201985,AJ Price,261,3929.3433333333332,2010,Pace-and-Space Small-Ball,40.65571274118649,54.9760876802211,78.16997633133182,86.2083917936688,38.24237835909173,35.878531526738705
201986,Nando De Colo,119,1414.6616666666666,2010,Pace-and-Space Small-Ball,23.355066090511688,33.13369601858779,67.0663781870096,83.17887838692175,68.17471751582927,44.0185835362013
201988,Patty Mills,921,18315.53,2010,Pace-and-Space Small-Ball,55.86938656145439,65.17648301471336,60.5841184184929,67.84882330446978,32.29821757743736,59.274546188500985
202066,Garrett Temple,771,15462.458333333334,2010,Pace-and-Space Small-Ball,60.07496588838713,26.216046709528186,49.326492540248736,54.56636928169077,48.77361752431199,54.84265846330393
202083,Wesley Matthews,986,28579.545,2010,Pace-and-Space Small-Ball,82.93904387314981,55.862001102191044,47.69629412742976,45.8005498837511,38.53458242010347,38.86393364914047
202087,Alonzo Gee,417,9069.289999999999,2010,Pace-and-Space Small-Ball,63.19411476412508,30.928046239108884,34.03344986678718,32.75412338251288,61.0850540459804,34.45279438049211
202130,Reggie Williams,206,3735.5283333333336,2010,Pace-and-Space Small-Ball,54.47167178774034,66.91439602561147,23.020673538682335,62.820315954946736,36.84665376689715,41.74065011951038
202178,Sundiata Gaines,113,1310.7233333333334,2010,Pace-and-Space Small-Ball,25.211244593143046,54.539203108172345,66.79863175842628,89.8172502641801,67.12320987351927,33.39598041825518
202322,John Wall,647,22586.616666666665,2010,Pace-and-Space Small-Ball,95.16766646744702,85.06697137699933,49.42219519106354,98.63981975032915,60.98114283699891,49.87749546601856
202323,Evan Turner,705,18938.618333333332,2010,Pace-and-Space Small-Ball,74.2038679442666,45.602345282517625,54.46306673324377,77.83206912417245,55.74884627693514,47.009385383558985
202324,Derrick Favors,790,19201.863333333335,2010,Pace-and-Space Small-Ball,67.78341271261749,65.90113344425353,58.78653508937104,29.400260925843266,68.2146841806919,29.394188646161805
